119045,0.51
112223,0.55
103924,0.5
105922,0.39
103297,0.49
115525,0.48
116409,0.54
109427,0.4
118590,0.55
107075,0.53
101173,0.39
127419,0.54
109575,0.5
115834,0.38
119963,0.39
107449,0.57
115767,0.51
114678,0.52
104384,0.37
113998,0.55
115060,0.57
106141,0.5
102113,0.54
103723,0.55
100400,0.54
106597,0.55
105299,0.54
103740,0.38
127312,0.54
100564,0.52
107811,0.55
100646,0.53
109852,0.48
118666,0.57
112180,0.52
100787,0.39
107726,0.53
113851,0.53
115282,0.46
105654,0.55
100405,0.53
123181,0.53
106100,0.39
116407,0.55
110213,0.38
116010,0.54
138635,0.51
109241,0.36
111864,0.43
116431,0.47
110559,0.4
105027,0.54
101272,0.38
113568,0.41
112855,0.5
109599,0.39
102397,0.41
119115,0.36
134126,0.52
121900,0.54
102998,0.54
103805,0.51
100365,0.54
108576,0.39
114361,0.53
113694,0.51
102301,0.55
121406,0.54
145105,0.4
106890,0.56
117431,0.43
101534,0.33
110456,0.36
104576,0.48
117933,0.54
117781,0.56
119721,0.54
100230,0.36
117030,0.39
112360,0.54
124246,0.45
117804,0.54
109658,0.52
107490,0.54
110555,0.55
133022,0.52
109383,0.36
144357,0.39
104120,0.4
136286,0.56
112200,0.5
123320,0.51
114160,0.54
119725,0.56
106053,0.56
116666,0.5
106422,0.36
107889,0.47
117622,0.47
108058,0.55
